BUTTIGLIONE;ROCCO;R_Buttiglione;Y
CALABRIA;ANNAGRAZIA;AngieCalabria;N
CALDEROLI;ROBERTO;bertocald;N
CALEO;MASSIMO;Massimo_Caleo;Y
CAMANI;VANESSA;VanessaCamani;Y
CAMPANA;MICAELA;micaela_campana;Y
CAMPANELLA;FRANCESCO;cicci1;N
CANCELLERI;AZZURRA PIA MARIA;Azzurra_C;N
CANDIANI;STEFANO;CandianiStefano;N
CANI;EMANUELE;emacani;Y
CANTINI;LAURA;CantiniL;Y
CAON;ROBERTO;Roberto__Caon;Y
CAPACCHIONE;ROSARIA;RosCapacchione;Y
CAPARINI;DAVIDE;davidecaparini;N
CAPEZZONE;DANIELE;Capezzone;N
CAPONE;SALVATORE;SalvCapone;Y
CAPOZZOLO;SABRINA;SabriCapozzolo;Y
CAPPELLETTI;ENRICO;e_cappelletti;N
CARBONE;ERNESTO;ernestocarbone;Y
CARDIELLO;FRANCO;FrancoCardiello;N
CARDINALI;VALERIA;ValeriaCardina6;Y
CARFAGNA;MARIA ROSARIA;mara_carfagna;N
CARIDI;ANTONIO STEFANO;caridi_antonio;N
CARIELLO;FRANCESCO;CarielFr;N
CARINELLI;PAOLA;berenice0104;N
CARLONI;ANNA MARIA;amcarloni;Y
CARNEVALI;ELENA;ElenaCarnevali;Y
CARRESCIA;PIERGIORGIO;PgCarrescia;Y
CARROZZA;MARIA CHIARA;MC_Carro;Y
CARUSO;MARIO;mario_caruso_;Y
CASALETTO;MONICA;mcasa68;N
CASELLATO;FLORIANA;CasellatoFlo;Y
CASO;VINCENZO;Enzokas;N
CASSANO;MASSIMO;MassimoCassano;Y
CASSON;FELICE;CassonVenezia;N
CASTALDI;GIANLUCA;GianlucaVasto;N
CASTELLI;LAURA;LaCastelliM5s;N
CASTIGLIONE;GIUSEPPE;G_Castiglione;N
CATALANO;IVAN;ivancatalanodep;Y
CATALFO;NUNZIA;CatalfoNunzia;N
CATANIA;MARIO;mario_catania;Y
CAUSIN;ANDREA;Andreacausin72;Y
CECCONI;ANDREA;andreacecconi84;N
CENNI;SUSANNA;susannacenni;Y
CENSORE;BRUNO;BrunoCensore;Y
CENTEMERO;ELENA;ElenaCentemero;N
CERA;ANGELO;angelocera;N
CERONI;REMIGIO;RemigioCeroni;N
CERVELLINI;MASSIMO;MassiCervellini;N
CESARO;ANTIMO;cesaroprof;Y
CESARO;LUIGI;Cesaro_FI;N
CHAOUKI;KHALID;KhalidChaouki3;N
CHIARELLI;GIANFRANCO GIOVANNI;GianfrancoChia2;N
CHIAVAROLI;FEDERICA;fedechiavaroli;Y
CHIMIENTI;SILVIA;silviachimienti;N
CHITI;VANNINO;VanninoChiti;Y
CICCHITTO;FABRIZIO;cicchittofabriz;N
CIMBRO;ELEONORA;CimbroEleonora;Y
CIOFFI;ANDREA;andrea_cioffi;N
CIPRINI;TIZIANA;TiziCip;N
CIRACÌ;NICOLA;nciraci;N
CIRIELLI;EDMONDO;edmondocirielli;N
CIRINNÀ;MONICA;MonicaCirinna;Y
CIVATI;GIUSEPPE;civati;N
COCCIA;LAURA;laura_coccia;Y
COCIANCICH;ROBERTO;rcociancich;Y
COLLETTI;ANDREA;AndCol81;N
COLLINA;STEFANO;CollinaStefano;Y
COLONNESE;VEGA;VegaColonnese;N
COLUCCI;FRANCESCO;coluccilucca;Y
COMINARDI;CLAUDIO;cla_cominardi;N
COMINELLI;MIRIAM;miriamcominelli;Y
COMPAGNA;LUIGI;LuigiCompagna;N
CONTI;RICCARDO;Scrivi2Scrivi;Y
COPPOLA;PAOLO;coppolapaolo;Y
CORDA;EMANUELA;Emanuela_Corda;N
CORSARO;MASSIMO ENRICO;MassimoCorsaro;N
COSTANTINO;CELESTE;CelesteCost;N
COVA;PAOLO;paolo_cova;Y
COVELLO;STEFANIA;CovelloStefania;Y
COZZOLINO;EMANUELE;e_cozzolino;N
CRIMI;VITO CLAUDIO;vitocrimi;N
CRIMÌ;FILIPPO;f_crimi;Y
CRIPPA;DAVIDE;crippa5stelle;N
CRIVELLARI;DIEGO;DiegoCrivellari;Y
